Numéro;Date de création;Responsable;Statut;Étape en cours;Valeur
1;28/06/2026 23:54:49;;Souscription non démarrée;Parcours non démarré;717.54
2;28/06/2026 23:54:49;;Souscription non démarrée;Parcours non démarré;967.18
3;28/06/2026 22:59:54;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;962.91
4;28/06/2026 22:59:54;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;510.06
5;28/06/2026 22:38:15;;Souscription en cours;Coordonnées personnelles;502.77
6;28/06/2026 22:38:15;;Souscription en cours;Coordonnées personnelles;754.72
7;28/06/2026 21:21:00;;Souscription en cours;Vérification d'identité;976.04
8;28/06/2026 21:21:00;;Souscription en cours;Vérification d'identité;530.87
9;28/06/2026 20:48:53;;Souscription en cours;Coordonnées personnelles;526.40
10;28/06/2026 20:48:53;;Souscription en cours;Coordonnées personnelles;364.38
11;28/06/2026 20:24:38;;Souscription en cours;Coordonnées personnelles;645.20
12;28/06/2026 20:24:38;;Souscription en cours;Coordonnées personnelles;141.91
13;28/06/2026 19:52:09;;Souscription en cours;Coordonnées personnelles;462.88
14;28/06/2026 19:52:09;;Souscription en cours;Coordonnées personnelles;921.23
15;28/06/2026 19:21:18;;Souscription en cours;Coordonnées personnelles;779.12
16;28/06/2026 19:21:18;;Souscription en cours;Coordonnées personnelles;310.13
17;28/06/2026 19:05:37;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);863.22
18;28/06/2026 19:05:37;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);368.74
19;28/06/2026 19:04:22;;Souscription en cours;Coordonnées personnelles;814.63
20;28/06/2026 19:04:22;;Souscription en cours;Coordonnées personnelles;587.99
21;28/06/2026 18:59:15;;Souscription en cours;Choix de l'offre et livraison;596.03
22;28/06/2026 18:59:15;;Souscription en cours;Choix de l'offre et livraison;752.51
23;28/06/2026 18:57:17;;Souscription en cours;Coordonnées personnelles;162.96
24;28/06/2026 18:57:17;;Souscription en cours;Coordonnées personnelles;566.94
25;28/06/2026 18:31:07;;Souscription en cours;Vérification d'identité;468.18
26;28/06/2026 18:31:07;;Souscription en cours;Vérification d'identité;993.21
27;28/06/2026 18:23:36;;Souscription en cours;Coordonnées personnelles;457.25
28;28/06/2026 18:23:36;;Souscription en cours;Coordonnées personnelles;993.87
