Code agence;Statut;Création;Onboarding;Code_Contact;Valeur
07439;EER non démarré;27/06/2026;—;1000057220;859.40
07439;EER non démarré;27/06/2026;—;1000057221;406.41
03231;EER non démarré;27/06/2026;—;1000057230;905.21
03231;EER non démarré;27/06/2026;—;1000057231;771.83
08414;EER validé;27/06/2026;a810bf6c;1000057240;235.26
08414;EER validé;27/06/2026;d30527ce;1000057241;308.68
05616;EER non démarré;27/06/2026;—;1000057250;158.12
05616;EER non démarré;27/06/2026;—;1000057251;628.21
06744;EER à valider;27/06/2026;6a7ee887;1000057260;534.79
06744;EER à valider;27/06/2026;a0b41e12;1000057261;434.84
07283;EER validé;27/06/2026;31619de0;1000057270;175.81
07283;EER validé;27/06/2026;7efcc61f;1000057271;762.99
02002;EER démarré;27/06/2026;b3859d38;1000057280;559.27
02002;EER démarré;27/06/2026;03fab7d9;1000057281;857.59
06744;EER démarré;27/06/2026;b888f530;1000057290;660.20
06744;EER démarré;27/06/2026;02f5dc9e;1000057291;944.66
02159;EER non démarré;27/06/2026;—;1000057300;101.00
02159;EER non démarré;27/06/2026;—;1000057301;155.86
06744;EER non démarré;27/06/2026;—;1000057310;152.20
06744;EER non démarré;27/06/2026;—;1000057311;137.55
05018;EER non démarré;27/06/2026;—;1000057320;300.62
05018;EER non démarré;27/06/2026;—;1000057321;404.12
09434;EER démarré;27/06/2026;98c6e4a6;1000057330;617.48
09434;EER démarré;27/06/2026;66be3d25;1000057331;570.08
01438;EER non démarré;27/06/2026;—;1000057340;229.94
01438;EER non démarré;27/06/2026;—;1000057341;297.67
06744;EER non démarré;27/06/2026;—;1000057350;908.57
06744;EER non démarré;27/06/2026;—;1000057351;816.47
06348;EER non démarré;27/06/2026;—;1000057360;479.72
06348;EER non démarré;27/06/2026;—;1000057361;846.95
01651;EER non démarré;27/06/2026;—;1000057370;779.93
01651;EER non démarré;27/06/2026;—;1000057371;936.41
08342;EER non démarré;27/06/2026;—;1000057380;946.02
08342;EER non démarré;27/06/2026;—;1000057381;920.13
05027;EER non démarré;27/06/2026;—;1000057390;772.23
05027;EER non démarré;27/06/2026;—;1000057391;196.95
05326;EER non démarré;27/06/2026;—;1000057400;451.80
05326;EER non démarré;27/06/2026;—;1000057401;983.28
06129;EER non démarré;27/06/2026;—;1000057410;299.63
06129;EER non démarré;27/06/2026;—;1000057411;880.33
09141;EER rejeté;27/06/2026;961a28f9;1000057420;977.09
09141;EER rejeté;27/06/2026;42a15333;1000057421;358.14
04588;EER non démarré;27/06/2026;—;1000057430;121.89
04588;EER non démarré;27/06/2026;—;1000057431;310.45
00685;EER non démarré;27/06/2026;—;1000057440;969.59
00685;EER non démarré;27/06/2026;—;1000057441;616.56
02468;EER démarré;27/06/2026;e2e646df;1000057450;142.56
02468;EER démarré;27/06/2026;e6cc677e;1000057451;881.21
04669;EER non démarré;27/06/2026;—;1000057460;618.10
04669;EER non démarré;27/06/2026;—;1000057461;210.72
06239;EER non démarré;27/06/2026;—;1000057470;655.41
06239;EER non démarré;27/06/2026;—;1000057471;948.31
06744;EER validé;27/06/2026;8cf79690;1000057480;283.00
06744;EER validé;27/06/2026;b032c26f;1000057481;371.57
01082;EER validé;27/06/2026;fad00869;1000057490;509.60
01082;EER validé;27/06/2026;70ad7059;1000057491;824.69
05540;EER démarré;27/06/2026;dc8b094b;1000057500;669.73
05540;EER démarré;27/06/2026;9e3e9b39;1000057501;378.14
05027;EER non démarré;27/06/2026;—;1000057510;561.38
05027;EER non démarré;27/06/2026;—;1000057511;523.44
01864;EER démarré;27/06/2026;68363f5c;1000057520;826.51
01864;EER démarré;27/06/2026;6fcbd8b5;1000057521;282.40
02330;EER non démarré;27/06/2026;—;1000057530;871.15
02330;EER non démarré;27/06/2026;—;1000057531;737.49
01349;EER non démarré;27/06/2026;—;1000057540;461.95
01349;EER non démarré;27/06/2026;—;1000057541;778.07
03940;EER non démarré;27/06/2026;—;1000057550;557.87
03940;EER non démarré;27/06/2026;—;1000057551;636.70
09238;EER à valider;27/06/2026;592bb8cd;1000057560;737.86
09238;EER à valider;27/06/2026;a35968a7;1000057561;464.95
01427;EER démarré;27/06/2026;f78fd70a;1000057570;784.29
01427;EER démarré;27/06/2026;a32cf141;1000057571;279.55
09342;EER démarré;27/06/2026;54536be2;1000057580;335.80
09342;EER démarré;27/06/2026;a899a887;1000057581;743.19
02266;EER non démarré;27/06/2026;—;1000057590;202.56
02266;EER non démarré;27/06/2026;—;1000057591;622.23
04890;EER non démarré;27/06/2026;—;1000057600;496.69
04890;EER non démarré;27/06/2026;—;1000057601;104.37
06360;EER rejeté;27/06/2026;57dbe1eb;1000057610;856.00
06360;EER rejeté;27/06/2026;241ddf19;1000057611;639.01
07386;EER non démarré;27/06/2026;—;1000057620;240.35
07386;EER non démarré;27/06/2026;—;1000057621;512.58
07391;EER validé;27/06/2026;3ba6c1b5;1000057630;998.88
07391;EER validé;27/06/2026;59557445;1000057631;703.44
09238;EER non démarré;27/06/2026;—;1000057640;746.52
09238;EER non démarré;27/06/2026;—;1000057641;242.54
00386;EER non démarré;27/06/2026;—;1000057650;457.04
00386;EER non démarré;27/06/2026;—;1000057651;495.64
05892;EER non démarré;27/06/2026;—;1000057660;999.49
05892;EER non démarré;27/06/2026;—;1000057661;393.27
05586;EER non démarré;26/06/2026;—;1000057670;800.60
05586;EER non démarré;26/06/2026;—;1000057671;400.88
05689;EER non démarré;26/06/2026;—;1000057680;673.77
05689;EER non démarré;26/06/2026;—;1000057681;975.76
07853;EER non démarré;26/06/2026;—;1000057690;668.20
07853;EER non démarré;26/06/2026;—;1000057691;109.91
04169;EER non démarré;26/06/2026;—;1000057700;504.98
04169;EER non démarré;26/06/2026;—;1000057701;459.29
09609;EER non démarré;26/06/2026;—;1000057710;263.17
09609;EER non démarré;26/06/2026;—;1000057711;891.64
02200;EER non démarré;26/06/2026;—;1000057720;350.65
02200;EER non démarré;26/06/2026;—;1000057721;875.05
02518;EER non démarré;26/06/2026;—;1000057730;356.66
02518;EER non démarré;26/06/2026;—;1000057731;512.22
06804;EER non démarré;26/06/2026;—;1000057740;904.19
06804;EER non démarré;26/06/2026;—;1000057741;286.84
06744;EER validé;26/06/2026;60365089;1000057750;584.84
06744;EER validé;26/06/2026;bcbc32b4;1000057751;355.94
02685;EER démarré;26/06/2026;24c48433;1000057760;312.11
02685;EER démarré;26/06/2026;3859ae48;1000057761;369.85
07386;EER validé;26/06/2026;6eff2d19;1000057770;722.86
07386;EER validé;26/06/2026;172d544e;1000057771;580.84
03940;EER non démarré;26/06/2026;—;1000057780;478.14
03940;EER non démarré;26/06/2026;—;1000057781;386.64
06744;EER non démarré;26/06/2026;—;1000057790;362.67
06744;EER non démarré;26/06/2026;—;1000057791;713.75
09148;EER non démarré;26/06/2026;—;1000057800;597.53
09148;EER non démarré;26/06/2026;—;1000057801;820.93
02579;EER validé;26/06/2026;eeabeca3;1000057810;589.37
02579;EER validé;26/06/2026;be92c2d7;1000057811;721.20
02938;EER non démarré;26/06/2026;—;1000057820;819.68
02938;EER non démarré;26/06/2026;—;1000057821;563.44
05479;EER démarré;26/06/2026;28afb007;1000057830;522.95
05479;EER démarré;26/06/2026;403de368;1000057831;706.15
01472;EER non démarré;26/06/2026;—;1000057840;859.28
01472;EER non démarré;26/06/2026;—;1000057841;791.25
09238;EER non démarré;26/06/2026;—;1000057850;505.24
09238;EER non démarré;26/06/2026;—;1000057851;171.11
05838;EER non démarré;26/06/2026;—;1000057860;503.58
05838;EER non démarré;26/06/2026;—;1000057861;938.42
07669;EER non démarré;26/06/2026;—;1000057870;639.71
07669;EER non démarré;26/06/2026;—;1000057871;476.91
07362;EER non démarré;26/06/2026;—;1000057880;857.30
07362;EER non démarré;26/06/2026;—;1000057881;552.17
03665;EER non démarré;26/06/2026;—;1000057890;755.68
03665;EER non démarré;26/06/2026;—;1000057891;256.53
05331;EER rejeté;26/06/2026;ffedbec4;1000057900;144.62
05331;EER rejeté;26/06/2026;39abf228;1000057901;283.89
06744;EER non démarré;26/06/2026;—;1000057910;435.07
06744;EER non démarré;26/06/2026;—;1000057911;485.43
00787;EER non démarré;26/06/2026;—;1000057920;896.95
00787;EER non démarré;26/06/2026;—;1000057921;296.64
06191;EER non démarré;26/06/2026;—;1000057930;525.84
06191;EER non démarré;26/06/2026;—;1000057931;385.77
06239;EER non démarré;26/06/2026;—;1000057940;261.51
06239;EER non démarré;26/06/2026;—;1000057941;645.08
07715;EER démarré;26/06/2026;ddb8c64f;1000057950;161.79
07715;EER démarré;26/06/2026;d2320a5e;1000057951;949.89
04699;EER non démarré;26/06/2026;—;1000057960;329.87
04699;EER non démarré;26/06/2026;—;1000057961;310.35
05868;EER non démarré;26/06/2026;—;1000057970;554.28
05868;EER non démarré;26/06/2026;—;1000057971;815.52
08144;EER non démarré;26/06/2026;—;1000057980;483.23
08144;EER non démarré;26/06/2026;—;1000057981;285.28
06744;EER non démarré;26/06/2026;—;1000057990;192.16
06744;EER non démarré;26/06/2026;—;1000057991;973.12
02639;EER non démarré;26/06/2026;—;1000058000;866.73
02639;EER non démarré;26/06/2026;—;1000058001;470.24
00386;EER non démarré;26/06/2026;—;1000058010;361.48
00386;EER non démarré;26/06/2026;—;1000058011;849.19
05027;EER démarré;26/06/2026;44033c20;1000058020;838.76
05027;EER démarré;26/06/2026;aca4474d;1000058021;861.44
09238;EER non démarré;26/06/2026;—;1000058030;638.87
09238;EER non démarré;26/06/2026;—;1000058031;643.08
05331;EER non démarré;26/06/2026;—;1000058040;585.51
05331;EER non démarré;26/06/2026;—;1000058041;423.18
09483;EER non démarré;26/06/2026;—;1000058050;825.95
09483;EER non démarré;26/06/2026;—;1000058051;741.39
09071;EER validé;26/06/2026;9fbb6a23;1000058060;698.28
09071;EER validé;26/06/2026;1acfed47;1000058061;272.26
