Numéro;Date de création;Responsable;Statut;Étape en cours;Valeur
1;17/05/2026 23:55:09;;Souscription non démarrée;Parcours non démarré;351.97
2;17/05/2026 23:55:09;;Souscription non démarrée;Parcours non démarré;488.24
3;17/05/2026 23:55:05;;Souscription non démarrée;Parcours non démarré;448.20
4;17/05/2026 23:55:05;;Souscription non démarrée;Parcours non démarré;559.28
5;17/05/2026 23:21:04;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);924.87
6;17/05/2026 23:21:04;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);731.18
7;17/05/2026 23:02:16;;Souscription en cours;Informations complémentaires (Etablissements, etc.);542.66
8;17/05/2026 23:02:16;;Souscription en cours;Informations complémentaires (Etablissements, etc.);973.44
9;17/05/2026 22:04:13;;Souscription en cours;Vérification d'identité;266.90
10;17/05/2026 22:04:13;;Souscription en cours;Vérification d'identité;824.24
11;17/05/2026 21:56:41;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;418.17
12;17/05/2026 21:56:41;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;299.27
13;17/05/2026 21:16:39;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;734.73
14;17/05/2026 21:16:39;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;953.18
15;17/05/2026 21:06:51;;Souscription en cours;Vérification d'identité;711.59
16;17/05/2026 21:06:51;;Souscription en cours;Vérification d'identité;578.66
17;17/05/2026 20:26:39;;Souscription en cours;Vérification d'identité;176.33
18;17/05/2026 20:26:39;;Souscription en cours;Vérification d'identité;911.54
19;17/05/2026 18:52:00;;Souscription en cours;Coordonnées personnelles;120.68
20;17/05/2026 18:52:00;;Souscription en cours;Coordonnées personnelles;873.34
21;17/05/2026 18:02:20;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);242.75
22;17/05/2026 18:02:20;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);471.31
23;17/05/2026 17:40:38;;Souscription en cours;Coordonnées personnelles;301.92
24;17/05/2026 17:40:38;;Souscription en cours;Coordonnées personnelles;490.45
25;17/05/2026 17:34:24;;Souscription en cours;Signature Contrat;896.63
26;17/05/2026 17:34:24;;Souscription en cours;Signature Contrat;228.33
27;17/05/2026 17:30:23;;Souscription en cours;Coordonnées personnelles;552.24
28;17/05/2026 17:30:23;;Souscription en cours;Coordonnées personnelles;825.76
29;17/05/2026 17:24:27;;Souscription en cours;Choix de l'offre et livraison;986.10
30;17/05/2026 17:24:27;;Souscription en cours;Choix de l'offre et livraison;316.84
31;17/05/2026 17:20:24;;Souscription en cours;Coordonnées personnelles;532.69
32;17/05/2026 17:20:24;;Souscription en cours;Coordonnées personnelles;465.20
33;17/05/2026 17:18:53;;Souscription en cours;Coordonnées personnelles;132.56
34;17/05/2026 17:18:53;;Souscription en cours;Coordonnées personnelles;649.86
35;17/05/2026 16:57:05;;Souscription en cours;Coordonnées personnelles;461.00
36;17/05/2026 16:57:05;;Souscription en cours;Coordonnées personnelles;671.00
37;17/05/2026 16:52:11;;Souscription en cours;Signature Contrat;640.32
38;17/05/2026 16:52:11;;Souscription en cours;Signature Contrat;501.22
39;17/05/2026 16:50:04;;Souscription en cours;Choix de l'offre et livraison;306.09
40;17/05/2026 16:50:04;;Souscription en cours;Choix de l'offre et livraison;504.40
41;17/05/2026 16:21:38;;Souscription en cours;Coordonnées personnelles;230.41
42;17/05/2026 16:21:38;;Souscription en cours;Coordonnées personnelles;911.05
43;17/05/2026 16:20:39;;Souscription en cours;Coordonnées personnelles;794.47
44;17/05/2026 16:20:39;;Souscription en cours;Coordonnées personnelles;665.74
45;17/05/2026 15:47:32;;Souscription en cours;Choix de l'offre et livraison;148.37
46;17/05/2026 15:47:32;;Souscription en cours;Choix de l'offre et livraison;149.82
47;17/05/2026 15:20:32;;Souscription en cours;Coordonnées personnelles;478.88
48;17/05/2026 15:20:32;;Souscription en cours;Coordonnées personnelles;813.69
49;17/05/2026 15:18:35;;Souscription en cours;Coordonnées personnelles;419.97
50;17/05/2026 15:18:35;;Souscription en cours;Coordonnées personnelles;244.60
51;17/05/2026 15:15:21;;Souscription non démarrée;Parcours non démarré;356.74
52;17/05/2026 15:15:21;;Souscription non démarrée;Parcours non démarré;327.75
53;17/05/2026 15:06:58;;Souscription en cours;Coordonnées personnelles;827.22
54;17/05/2026 15:06:58;;Souscription en cours;Coordonnées personnelles;880.48
55;17/05/2026 15:04:04;;Souscription en cours;Coordonnées personnelles;347.95
56;17/05/2026 15:04:04;;Souscription en cours;Coordonnées personnelles;906.06
57;17/05/2026 14:51:59;;Souscription en cours;Signature Contrat;591.97
58;17/05/2026 14:51:59;;Souscription en cours;Signature Contrat;287.92
59;17/05/2026 14:48:41;;Dossier validé;Parcours terminé;493.74
60;17/05/2026 14:48:41;;Dossier validé;Parcours terminé;992.54
61;17/05/2026 14:48:08;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);594.94
62;17/05/2026 14:48:08;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);554.83
63;17/05/2026 14:17:37;;Souscription en cours;Vérification d'identité;738.95
64;17/05/2026 14:17:37;;Souscription en cours;Vérification d'identité;292.24
65;17/05/2026 14:14:53;;Souscription en cours;Synchronisation référentiel personne NOVA;280.18
66;17/05/2026 14:14:53;;Souscription en cours;Synchronisation référentiel personne NOVA;597.19
67;17/05/2026 14:08:10;;Souscription en cours;Coordonnées personnelles;984.68
68;17/05/2026 14:08:10;;Souscription en cours;Coordonnées personnelles;198.34
69;17/05/2026 13:48:07;;Souscription en cours;Coordonnées personnelles;789.73
70;17/05/2026 13:48:07;;Souscription en cours;Coordonnées personnelles;775.77
71;17/05/2026 13:47:53;;Souscription en cours;Choix de l'offre et livraison;962.77
72;17/05/2026 13:47:53;;Souscription en cours;Choix de l'offre et livraison;713.45
73;17/05/2026 13:45:48;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;806.62
74;17/05/2026 13:45:48;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;281.25
75;17/05/2026 13:25:53;;Souscription en cours;Coordonnées personnelles;916.94
76;17/05/2026 13:25:53;;Souscription en cours;Coordonnées personnelles;681.42
77;17/05/2026 13:20:21;;Souscription en cours;Signature Contrat;367.78
78;17/05/2026 13:20:21;;Souscription en cours;Signature Contrat;276.62
79;17/05/2026 12:58:35;;Souscription non démarrée;Parcours non démarré;470.46
80;17/05/2026 12:58:35;;Souscription non démarrée;Parcours non démarré;739.57
81;17/05/2026 12:57:00;;Souscription en cours;Choix de l'offre et livraison;222.66
82;17/05/2026 12:57:00;;Souscription en cours;Choix de l'offre et livraison;237.86
83;17/05/2026 12:42:24;;Souscription en cours;Choix de l'offre et livraison;369.17
84;17/05/2026 12:42:24;;Souscription en cours;Choix de l'offre et livraison;121.20
85;17/05/2026 12:22:27;;Souscription en cours;Coordonnées personnelles;294.13
86;17/05/2026 12:22:27;;Souscription en cours;Coordonnées personnelles;775.93
87;17/05/2026 12:19:18;;Souscription en cours;Choix de l'offre et livraison;323.85
88;17/05/2026 12:19:18;;Souscription en cours;Choix de l'offre et livraison;806.00
89;17/05/2026 11:31:27;;Souscription en cours;Vérification d'identité;821.60
90;17/05/2026 11:31:27;;Souscription en cours;Vérification d'identité;534.56
91;17/05/2026 11:23:39;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;615.86
92;17/05/2026 11:23:39;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;359.91
93;17/05/2026 11:08:42;;Souscription en cours;Coordonnées personnelles;957.38
94;17/05/2026 11:08:42;;Souscription en cours;Coordonnées personnelles;764.35
95;17/05/2026 11:00:45;;Souscription non démarrée;Parcours non démarré;389.18
96;17/05/2026 11:00:45;;Souscription non démarrée;Parcours non démarré;105.36
97;17/05/2026 11:00:09;;Souscription en cours;Vérification d'identité;964.53
98;17/05/2026 11:00:09;;Souscription en cours;Vérification d'identité;737.54
99;17/05/2026 10:41:45;;Souscription en cours;Choix de l'offre et livraison;392.71
100;17/05/2026 10:41:45;;Souscription en cours;Choix de l'offre et livraison;801.63
101;17/05/2026 10:39:00;;Souscription en cours;Coordonnées personnelles;767.30
102;17/05/2026 10:39:00;;Souscription en cours;Coordonnées personnelles;644.21
103;17/05/2026 10:34:29;;Souscription en cours;Choix de l'offre et livraison;116.55
104;17/05/2026 10:34:29;;Souscription en cours;Choix de l'offre et livraison;157.22
105;17/05/2026 10:22:59;;Souscription en cours;Coordonnées personnelles;324.62
106;17/05/2026 10:22:59;;Souscription en cours;Coordonnées personnelles;587.77
107;17/05/2026 10:15:43;;Souscription en cours;Coordonnées personnelles;315.78
108;17/05/2026 10:15:43;;Souscription en cours;Coordonnées personnelles;451.95
109;17/05/2026 09:30:25;Adam LAURENT;Dossier validé;Parcours terminé;916.38
110;17/05/2026 09:30:25;Adam LAURENT;Dossier validé;Parcours terminé;639.49
111;17/05/2026 09:21:24;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);359.35
112;17/05/2026 09:21:24;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);327.72
113;17/05/2026 09:21:03;;Souscription non démarrée;Parcours non démarré;710.27
114;17/05/2026 09:21:03;;Souscription non démarrée;Parcours non démarré;671.77
115;17/05/2026 09:14:51;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);696.19
116;17/05/2026 09:14:51;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);680.46
117;17/05/2026 09:13:33;;Souscription en cours;Coordonnées personnelles;838.64
118;17/05/2026 09:13:33;;Souscription en cours;Coordonnées personnelles;900.89
119;17/05/2026 08:57:59;;Souscription en cours;Choix de l'offre et livraison;542.08
120;17/05/2026 08:57:59;;Souscription en cours;Choix de l'offre et livraison;616.79
121;17/05/2026 08:57:11;;Souscription en cours;Coordonnées personnelles;872.40
122;17/05/2026 08:57:11;;Souscription en cours;Coordonnées personnelles;704.14
123;17/05/2026 08:49:57;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;370.80
124;17/05/2026 08:49:57;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;449.39
125;17/05/2026 08:39:39;;Souscription en cours;Vérification d'identité;514.48
126;17/05/2026 08:39:39;;Souscription en cours;Vérification d'identité;879.65
127;17/05/2026 08:37:39;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;512.90
128;17/05/2026 08:37:39;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;541.28
129;17/05/2026 08:28:56;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;891.00
130;17/05/2026 08:28:56;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;188.96
131;17/05/2026 07:55:23;;Souscription en cours;Choix de l'offre et livraison;789.78
132;17/05/2026 07:55:23;;Souscription en cours;Choix de l'offre et livraison;289.96
133;17/05/2026 05:09:39;;Dossier validé;Parcours terminé;395.19
134;17/05/2026 05:09:39;;Dossier validé;Parcours terminé;791.88
135;17/05/2026 04:41:03;;Souscription en cours;Coordonnées personnelles;668.81
136;17/05/2026 04:41:03;;Souscription en cours;Coordonnées personnelles;595.90
137;17/05/2026 04:35:21;;Dossier validé;Parcours terminé;853.85
138;17/05/2026 04:35:21;;Dossier validé;Parcours terminé;218.18
139;17/05/2026 03:36:33;;Souscription en cours;Synchronisation référentiel personne NOVA;859.03
140;17/05/2026 03:36:33;;Souscription en cours;Synchronisation référentiel personne NOVA;242.62
141;17/05/2026 03:30:53;;Souscription en cours;Coordonnées personnelles;685.44
142;17/05/2026 03:30:53;;Souscription en cours;Coordonnées personnelles;871.96
143;17/05/2026 02:24:21;;Souscription en cours;Choix de l'offre et livraison;138.23
144;17/05/2026 02:24:21;;Souscription en cours;Choix de l'offre et livraison;868.69
145;16/05/2026 23:58:05;;Dossier validé;Parcours terminé;461.02
146;16/05/2026 23:58:05;;Dossier validé;Parcours terminé;837.61
147;16/05/2026 23:54:15;;Souscription non démarrée;Parcours non démarré;532.76
148;16/05/2026 23:54:15;;Souscription non démarrée;Parcours non démarré;789.49
149;16/05/2026 23:46:41;;Souscription en cours;Coordonnées personnelles;850.32
150;16/05/2026 23:46:41;;Souscription en cours;Coordonnées personnelles;557.58
151;16/05/2026 23:09:43;;Souscription en cours;Bénéficiaire effectifs;113.85
152;16/05/2026 23:09:43;;Souscription en cours;Bénéficiaire effectifs;447.14
153;16/05/2026 22:33:46;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;727.89
154;16/05/2026 22:33:46;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;892.39
155;16/05/2026 22:33:41;;Souscription non démarrée;Parcours non démarré;678.15
156;16/05/2026 22:33:41;;Souscription non démarrée;Parcours non démarré;244.35
157;16/05/2026 22:01:48;;Souscription en cours;Coordonnées personnelles;260.27
158;16/05/2026 22:01:48;;Souscription en cours;Coordonnées personnelles;560.18
159;16/05/2026 21:37:03;;Dossier validé;Parcours terminé;107.14
160;16/05/2026 21:37:03;;Dossier validé;Parcours terminé;944.64
161;16/05/2026 21:30:42;;Souscription en cours;Coordonnées personnelles;552.53
162;16/05/2026 21:30:42;;Souscription en cours;Coordonnées personnelles;780.75
163;16/05/2026 21:22:36;;Souscription non démarrée;Parcours non démarré;359.86
164;16/05/2026 21:22:36;;Souscription non démarrée;Parcours non démarré;893.45
165;16/05/2026 21:13:21;;Souscription en cours;Coordonnées personnelles;878.33
166;16/05/2026 21:13:21;;Souscription en cours;Coordonnées personnelles;480.46
167;16/05/2026 20:51:31;;Dossier refusé;Saisie société;515.90
168;16/05/2026 20:51:31;;Dossier refusé;Saisie société;463.87
169;16/05/2026 20:47:25;;Souscription en cours;Coordonnées personnelles;689.09
170;16/05/2026 20:47:25;;Souscription en cours;Coordonnées personnelles;281.59
171;16/05/2026 20:41:12;;Souscription en cours;Coordonnées personnelles;847.95
172;16/05/2026 20:41:12;;Souscription en cours;Coordonnées personnelles;654.87
173;16/05/2026 20:28:06;;Souscription en cours;Vérification d'identité;504.70
174;16/05/2026 20:28:06;;Souscription en cours;Vérification d'identité;969.65
175;16/05/2026 20:22:35;;Souscription en cours;Choix de l'offre et livraison;577.38
176;16/05/2026 20:22:35;;Souscription en cours;Choix de l'offre et livraison;986.63
177;16/05/2026 20:21:18;;Souscription en cours;Coordonnées personnelles;596.58
178;16/05/2026 20:21:18;;Souscription en cours;Coordonnées personnelles;926.24
179;16/05/2026 20:07:19;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;695.04
180;16/05/2026 20:07:19;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;586.18
181;16/05/2026 19:38:52;;Dossier validé;Parcours terminé;344.67
182;16/05/2026 19:38:52;;Dossier validé;Parcours terminé;207.37
183;16/05/2026 19:30:50;;Souscription en cours;Vérification d'identité;313.69
184;16/05/2026 19:30:50;;Souscription en cours;Vérification d'identité;964.51
185;16/05/2026 19:23:15;;Dossier validé;Parcours terminé;570.64
186;16/05/2026 19:23:15;;Dossier validé;Parcours terminé;940.26
187;16/05/2026 19:15:04;;Souscription en cours;Coordonnées personnelles;842.26
188;16/05/2026 19:15:04;;Souscription en cours;Coordonnées personnelles;171.67
189;16/05/2026 19:02:00;;Souscription en cours;Choix de l'offre et livraison;945.85
190;16/05/2026 19:02:00;;Souscription en cours;Choix de l'offre et livraison;674.10
