Numéro;Date de création;Responsable;Statut;Étape en cours;Valeur
1;24/05/2026 22:58:41;;Souscription en cours;Signature Contrat;483.12
2;24/05/2026 22:58:41;;Souscription en cours;Signature Contrat;311.66
3;24/05/2026 22:20:16;;Souscription non démarrée;Parcours non démarré;405.88
4;24/05/2026 22:20:16;;Souscription non démarrée;Parcours non démarré;550.70
5;24/05/2026 22:19:54;;Souscription en cours;Coordonnées personnelles;845.97
6;24/05/2026 22:19:54;;Souscription en cours;Coordonnées personnelles;496.87
7;24/05/2026 22:16:07;;Souscription en cours;Vérification d'identité;943.17
8;24/05/2026 22:16:07;;Souscription en cours;Vérification d'identité;774.73
9;24/05/2026 20:36:32;;Souscription en cours;Coordonnées personnelles;103.42
10;24/05/2026 20:36:32;;Souscription en cours;Coordonnées personnelles;859.66
11;24/05/2026 20:33:10;;Souscription en cours;Vérification d'identité;298.08
12;24/05/2026 20:33:10;;Souscription en cours;Vérification d'identité;172.79
13;24/05/2026 20:24:40;;Souscription en cours;Coordonnées personnelles;453.59
14;24/05/2026 20:24:40;;Souscription en cours;Coordonnées personnelles;254.09
15;24/05/2026 19:46:43;;Souscription en cours;Signature Contrat;358.73
16;24/05/2026 19:46:43;;Souscription en cours;Signature Contrat;610.08
17;24/05/2026 19:23:11;;Souscription en cours;Vérification d'identité;284.00
18;24/05/2026 19:23:11;;Souscription en cours;Vérification d'identité;698.10
19;24/05/2026 19:07:36;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;279.17
20;24/05/2026 19:07:36;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;148.80
21;24/05/2026 19:03:39;;Souscription en cours;Coordonnées personnelles;460.43
22;24/05/2026 19:03:39;;Souscription en cours;Coordonnées personnelles;296.56
23;24/05/2026 19:02:53;;Souscription en cours;Vérification d'identité;724.59
24;24/05/2026 19:02:53;;Souscription en cours;Vérification d'identité;856.30
25;24/05/2026 19:02:06;;Souscription en cours;Signature Contrat;755.23
