Numéro;Date de création;Responsable;Statut;Étape en cours;Valeur
1;03/05/2026 23:46:07;;Souscription non démarrée;Parcours non démarré;710.55
2;03/05/2026 23:46:07;;Souscription non démarrée;Parcours non démarré;718.71
3;03/05/2026 23:18:14;;Souscription non démarrée;Parcours non démarré;116.80
4;03/05/2026 23:18:14;;Souscription non démarrée;Parcours non démarré;354.75
5;03/05/2026 22:55:30;;Souscription en cours;Bénéficiaire effectifs;340.24
6;03/05/2026 22:55:30;;Souscription en cours;Bénéficiaire effectifs;940.71
7;03/05/2026 21:55:15;;Souscription en cours;Vérification d'identité;121.62
8;03/05/2026 21:55:15;;Souscription en cours;Vérification d'identité;247.25
9;03/05/2026 21:51:55;;Souscription en cours;Coordonnées personnelles;421.36
10;03/05/2026 21:51:55;;Souscription en cours;Coordonnées personnelles;750.76
11;03/05/2026 21:49:40;;Souscription en cours;Coordonnées personnelles;120.78
12;03/05/2026 21:49:40;;Souscription en cours;Coordonnées personnelles;383.45
13;03/05/2026 21:40:43;;Souscription non démarrée;Parcours non démarré;919.75
14;03/05/2026 21:40:43;;Souscription non démarrée;Parcours non démarré;974.15
15;03/05/2026 21:27:08;;Souscription en cours;Choix de l'offre et livraison;536.42
16;03/05/2026 21:27:08;;Souscription en cours;Choix de l'offre et livraison;481.88
17;03/05/2026 21:15:23;;Souscription en cours;Coordonnées personnelles;521.22
18;03/05/2026 21:15:23;;Souscription en cours;Coordonnées personnelles;810.44
19;03/05/2026 20:58:18;;Souscription en cours;Choix de l'offre et livraison;157.20
20;03/05/2026 20:58:18;;Souscription en cours;Choix de l'offre et livraison;624.47
21;03/05/2026 20:42:30;;Souscription non démarrée;Parcours non démarré;750.51
22;03/05/2026 20:42:30;;Souscription non démarrée;Parcours non démarré;776.92
23;03/05/2026 20:32:13;;Souscription en cours;Coordonnées personnelles;842.50
24;03/05/2026 20:32:13;;Souscription en cours;Coordonnées personnelles;526.60
25;03/05/2026 20:29:42;;Souscription en cours;Coordonnées personnelles;533.73
26;03/05/2026 20:29:42;;Souscription en cours;Coordonnées personnelles;387.98
27;03/05/2026 19:46:15;;Souscription en cours;Coordonnées personnelles;749.12
28;03/05/2026 19:46:15;;Souscription en cours;Coordonnées personnelles;423.75
29;03/05/2026 19:24:44;;Souscription en cours;Coordonnées personnelles;309.96
30;03/05/2026 19:24:44;;Souscription en cours;Coordonnées personnelles;598.50
31;03/05/2026 19:23:58;;Souscription en cours;Signature Contrat;652.63
32;03/05/2026 19:23:58;;Souscription en cours;Signature Contrat;484.58
33;03/05/2026 18:59:21;;Souscription en cours;Coordonnées personnelles;655.83
34;03/05/2026 18:59:21;;Souscription en cours;Coordonnées personnelles;586.17
35;03/05/2026 18:49:10;;Souscription en cours;Coordonnées personnelles;749.71
36;03/05/2026 18:49:10;;Souscription en cours;Coordonnées personnelles;151.69
37;03/05/2026 18:37:44;;Souscription en cours;Coordonnées personnelles;464.63
38;03/05/2026 18:37:44;;Souscription en cours;Coordonnées personnelles;905.17
39;03/05/2026 18:27:04;;Souscription non démarrée;Parcours non démarré;491.81
40;03/05/2026 18:27:04;;Souscription non démarrée;Parcours non démarré;837.81
41;03/05/2026 17:48:46;;Souscription en cours;Choix de l'offre et livraison;331.34
42;03/05/2026 17:48:46;;Souscription en cours;Choix de l'offre et livraison;524.97
43;03/05/2026 17:35:09;;Souscription en cours;Coordonnées personnelles;195.19
44;03/05/2026 17:35:09;;Souscription en cours;Coordonnées personnelles;153.42
45;03/05/2026 17:32:48;;Souscription en cours;Coordonnées personnelles;340.34
46;03/05/2026 17:32:48;;Souscription en cours;Coordonnées personnelles;777.89
47;03/05/2026 17:31:13;;Souscription en cours;Signature Contrat;955.10
48;03/05/2026 17:31:13;;Souscription en cours;Signature Contrat;859.73
49;03/05/2026 17:19:14;;Souscription en cours;Signature Contrat;322.86
50;03/05/2026 17:19:14;;Souscription en cours;Signature Contrat;995.45
51;03/05/2026 17:10:19;;Dossier refusé;Saisie société;538.49
52;03/05/2026 17:10:19;;Dossier refusé;Saisie société;962.83
53;03/05/2026 17:03:22;;Souscription en cours;Coordonnées personnelles;206.09
54;03/05/2026 17:03:22;;Souscription en cours;Coordonnées personnelles;801.75
55;03/05/2026 16:37:42;;Souscription en cours;Vérification d'identité;562.59
56;03/05/2026 16:37:42;;Souscription en cours;Vérification d'identité;707.19
57;03/05/2026 16:24:54;;Souscription en cours;Coordonnées personnelles;880.14
58;03/05/2026 16:24:54;;Souscription en cours;Coordonnées personnelles;568.12
59;03/05/2026 15:59:48;;Souscription non démarrée;Parcours non démarré;391.58
60;03/05/2026 15:59:48;;Souscription non démarrée;Parcours non démarré;450.25
61;03/05/2026 15:53:05;;Souscription en cours;Signature Contrat;657.99
62;03/05/2026 15:53:05;;Souscription en cours;Signature Contrat;426.69
63;03/05/2026 15:42:43;;Souscription en cours;Coordonnées personnelles;154.31
64;03/05/2026 15:42:43;;Souscription en cours;Coordonnées personnelles;753.52
65;03/05/2026 15:42:41;;Souscription en cours;Signature Contrat;613.64
66;03/05/2026 15:42:41;;Souscription en cours;Signature Contrat;831.80
67;03/05/2026 15:12:07;;Souscription non démarrée;Parcours non démarré;606.70
68;03/05/2026 15:12:07;;Souscription non démarrée;Parcours non démarré;910.46
69;03/05/2026 15:10:23;;Souscription en cours;Signature Contrat;432.85
70;03/05/2026 15:10:23;;Souscription en cours;Signature Contrat;672.54
71;03/05/2026 14:55:25;;Souscription en cours;Signature Contrat;116.42
72;03/05/2026 14:55:25;;Souscription en cours;Signature Contrat;696.76
73;03/05/2026 14:42:25;;Souscription en cours;Coordonnées personnelles;208.87
74;03/05/2026 14:42:25;;Souscription en cours;Coordonnées personnelles;241.51
75;03/05/2026 14:42:23;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);492.83
76;03/05/2026 14:42:23;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);399.15
77;03/05/2026 14:27:11;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;502.65
78;03/05/2026 14:27:11;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;259.02
79;03/05/2026 14:22:51;;Souscription en cours;Choix de l'offre et livraison;965.85
80;03/05/2026 14:22:51;;Souscription en cours;Choix de l'offre et livraison;728.60
81;03/05/2026 14:22:27;;Souscription en cours;Signature Contrat;713.28
82;03/05/2026 14:22:27;;Souscription en cours;Signature Contrat;502.53
83;03/05/2026 14:12:52;;Souscription non démarrée;Parcours non démarré;703.91
84;03/05/2026 14:12:52;;Souscription non démarrée;Parcours non démarré;514.60
85;03/05/2026 13:52:40;;Souscription non démarrée;Parcours non démarré;174.11
86;03/05/2026 13:52:40;;Souscription non démarrée;Parcours non démarré;218.74
87;03/05/2026 13:52:36;;Souscription non démarrée;Parcours non démarré;132.39
88;03/05/2026 13:52:36;;Souscription non démarrée;Parcours non démarré;410.84
89;03/05/2026 13:48:48;;Souscription en cours;Informations complémentaires (Etablissements, etc.);176.20
90;03/05/2026 13:48:48;;Souscription en cours;Informations complémentaires (Etablissements, etc.);465.10
91;03/05/2026 12:51:02;;Souscription en cours;Informations complémentaires (Etablissements, etc.);238.12
92;03/05/2026 12:51:02;;Souscription en cours;Informations complémentaires (Etablissements, etc.);496.43
93;03/05/2026 12:49:35;;Souscription en cours;Coordonnées personnelles;900.49
94;03/05/2026 12:49:35;;Souscription en cours;Coordonnées personnelles;694.98
95;03/05/2026 12:44:17;;Souscription en cours;Coordonnées personnelles;739.35
96;03/05/2026 12:44:17;;Souscription en cours;Coordonnées personnelles;448.25
97;03/05/2026 12:34:29;;Souscription en cours;Coordonnées personnelles;948.75
98;03/05/2026 12:34:29;;Souscription en cours;Coordonnées personnelles;812.16
99;03/05/2026 12:27:44;;Souscription en cours;Coordonnées personnelles;317.90
100;03/05/2026 12:27:44;;Souscription en cours;Coordonnées personnelles;764.23
101;03/05/2026 12:18:07;;Souscription en cours;Coordonnées personnelles;624.00
102;03/05/2026 12:18:07;;Souscription en cours;Coordonnées personnelles;996.38
103;03/05/2026 12:16:42;;Souscription en cours;Signature Contrat;172.38
104;03/05/2026 12:16:42;;Souscription en cours;Signature Contrat;284.87
105;03/05/2026 12:09:04;;Souscription en cours;Synchronisation référentiel personne NOVA;372.95
106;03/05/2026 12:09:04;;Souscription en cours;Synchronisation référentiel personne NOVA;410.34
107;03/05/2026 12:03:25;;Souscription en cours;Choix de l'offre et livraison;929.77
108;03/05/2026 12:03:25;;Souscription en cours;Choix de l'offre et livraison;632.75
109;03/05/2026 11:51:24;;Souscription en cours;Synchronisation référentiel personne NOVA;767.55
110;03/05/2026 11:51:24;;Souscription en cours;Synchronisation référentiel personne NOVA;798.74
111;03/05/2026 11:48:44;;Souscription en cours;Signature Contrat;334.12
112;03/05/2026 11:48:44;;Souscription en cours;Signature Contrat;372.15
113;03/05/2026 11:47:03;;Souscription non démarrée;Parcours non démarré;134.78
114;03/05/2026 11:47:03;;Souscription non démarrée;Parcours non démarré;956.82
115;03/05/2026 11:35:08;;Souscription en cours;Coordonnées personnelles;355.63
116;03/05/2026 11:35:08;;Souscription en cours;Coordonnées personnelles;922.26
117;03/05/2026 11:32:30;;Souscription en cours;Coordonnées personnelles;264.68
118;03/05/2026 11:32:30;;Souscription en cours;Coordonnées personnelles;693.93
119;03/05/2026 11:24:31;;Souscription en cours;Choix de l'offre et livraison;899.67
120;03/05/2026 11:24:31;;Souscription en cours;Choix de l'offre et livraison;364.11
121;03/05/2026 11:23:09;;Souscription en cours;Signature Contrat;926.61
122;03/05/2026 11:23:09;;Souscription en cours;Signature Contrat;720.77
123;03/05/2026 11:09:56;;Souscription en cours;Bénéficiaire effectifs;631.26
124;03/05/2026 11:09:56;;Souscription en cours;Bénéficiaire effectifs;111.22
125;03/05/2026 11:09:17;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);546.68
126;03/05/2026 11:09:17;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);149.35
127;03/05/2026 11:02:42;;Dossier validé;Parcours terminé;800.73
128;03/05/2026 11:02:42;;Dossier validé;Parcours terminé;300.16
129;03/05/2026 10:58:44;;Dossier validé;Parcours terminé;839.13
130;03/05/2026 10:58:44;;Dossier validé;Parcours terminé;991.47
131;03/05/2026 10:42:45;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;203.81
