Numéro;Date de création;Responsable;Statut;Étape en cours;Valeur
1;21/06/2026 23:43:14;;Souscription en cours;Coordonnées personnelles;704.74
2;21/06/2026 23:43:14;;Souscription en cours;Coordonnées personnelles;404.86
3;21/06/2026 23:42:46;;Souscription en cours;Coordonnées personnelles;831.02
4;21/06/2026 23:42:46;;Souscription en cours;Coordonnées personnelles;273.57
5;21/06/2026 23:42:08;;Souscription non démarrée;Parcours non démarré;352.25
6;21/06/2026 23:42:08;;Souscription non démarrée;Parcours non démarré;899.63
7;21/06/2026 23:36:08;;Souscription en cours;Vérification d'identité;863.32
8;21/06/2026 23:36:08;;Souscription en cours;Vérification d'identité;961.80
9;21/06/2026 23:28:20;;Souscription en cours;Choix de l'offre et livraison;619.69
10;21/06/2026 23:28:20;;Souscription en cours;Choix de l'offre et livraison;544.06
11;21/06/2026 23:23:42;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);418.25
12;21/06/2026 23:23:42;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);836.33
13;21/06/2026 23:19:57;;Souscription en cours;Coordonnées personnelles;950.83
14;21/06/2026 23:19:57;;Souscription en cours;Coordonnées personnelles;785.76
15;21/06/2026 23:13:16;;Souscription en cours;Coordonnées personnelles;570.61
16;21/06/2026 23:13:16;;Souscription en cours;Coordonnées personnelles;240.75
17;21/06/2026 23:13:04;;Souscription en cours;Coordonnées personnelles;996.88
18;21/06/2026 23:13:04;;Souscription en cours;Coordonnées personnelles;641.60
19;21/06/2026 23:07:41;;Souscription en cours;Coordonnées personnelles;480.04
20;21/06/2026 23:07:41;;Souscription en cours;Coordonnées personnelles;448.08
21;21/06/2026 22:49:29;;Souscription en cours;Signature Contrat;513.31
22;21/06/2026 22:49:29;;Souscription en cours;Signature Contrat;892.33
23;21/06/2026 22:26:43;;Souscription en cours;Signature Contrat;745.91
24;21/06/2026 22:26:43;;Souscription en cours;Signature Contrat;805.10
25;21/06/2026 22:15:37;;Souscription en cours;Choix de l'offre et livraison;765.33
26;21/06/2026 22:15:37;;Souscription en cours;Choix de l'offre et livraison;707.92
27;21/06/2026 21:54:35;;Souscription en cours;Criblages BE(s);363.38
28;21/06/2026 21:54:35;;Souscription en cours;Criblages BE(s);117.56
29;21/06/2026 21:27:02;;Souscription en cours;Informations complémentaires (Etablissements, etc.);569.04
30;21/06/2026 21:27:02;;Souscription en cours;Informations complémentaires (Etablissements, etc.);242.22
31;21/06/2026 20:15:13;;Souscription en cours;Coordonnées personnelles;555.67
32;21/06/2026 20:15:13;;Souscription en cours;Coordonnées personnelles;767.71
33;21/06/2026 20:13:59;;Souscription en cours;Signature Contrat;133.85
34;21/06/2026 20:13:59;;Souscription en cours;Signature Contrat;665.35
35;21/06/2026 20:11:21;;Souscription en cours;Choix de l'offre et livraison;389.38
36;21/06/2026 20:11:21;;Souscription en cours;Choix de l'offre et livraison;708.97
37;21/06/2026 19:40:41;;Souscription en cours;Choix de l'offre et livraison;908.92
38;21/06/2026 19:40:41;;Souscription en cours;Choix de l'offre et livraison;919.32
39;21/06/2026 18:35:59;;Souscription en cours;Choix de l'offre et livraison;207.71
40;21/06/2026 18:35:59;;Souscription en cours;Choix de l'offre et livraison;795.58
41;21/06/2026 18:31:35;;Souscription en cours;Coordonnées personnelles;507.43
42;21/06/2026 18:31:35;;Souscription en cours;Coordonnées personnelles;392.04
43;21/06/2026 18:11:18;;Souscription en cours;Coordonnées personnelles;675.11
44;21/06/2026 18:11:18;;Souscription en cours;Coordonnées personnelles;491.67
45;21/06/2026 18:05:59;;Souscription en cours;Choix de l'offre et livraison;983.60
46;21/06/2026 18:05:59;;Souscription en cours;Choix de l'offre et livraison;399.58
