Code agence;Statut;Création;Onboarding;Code_Contact;Valeur
01588;EER non démarré;30/05/2026;—;1000026100;180.79
01588;EER non démarré;30/05/2026;—;1000026101;178.02
06904;EER validé;30/05/2026;9bd67618;1000026110;743.96
06904;EER validé;30/05/2026;cabba21b;1000026111;464.01
00818;EER non démarré;30/05/2026;—;1000026120;401.16
00818;EER non démarré;30/05/2026;—;1000026121;593.00
03751;EER non démarré;30/05/2026;—;1000026130;616.18
03751;EER non démarré;30/05/2026;—;1000026131;594.82
00386;EER non démarré;30/05/2026;—;1000026140;439.16
00386;EER non démarré;30/05/2026;—;1000026141;846.79
06094;EER non démarré;30/05/2026;—;1000026150;766.64
06094;EER non démarré;30/05/2026;—;1000026151;960.00
05522;EER non démarré;30/05/2026;—;1000026160;630.60
05522;EER non démarré;30/05/2026;—;1000026161;656.87
04700;EER non démarré;30/05/2026;—;1000026170;948.00
04700;EER non démarré;30/05/2026;—;1000026171;539.19
09238;EER démarré;30/05/2026;4abf2ca9;1000026180;780.05
09238;EER démarré;30/05/2026;b8386a28;1000026181;134.75
06195;EER démarré;30/05/2026;d76066c2;1000026190;219.46
06195;EER démarré;30/05/2026;22119b7d;1000026191;915.05
08346;EER non démarré;30/05/2026;—;1000026200;520.35
08346;EER non démarré;30/05/2026;—;1000026201;960.66
05326;EER non démarré;30/05/2026;—;1000026210;545.97
05326;EER non démarré;30/05/2026;—;1000026211;564.55
09940;EER non démarré;30/05/2026;—;1000026220;415.73
09940;EER non démarré;30/05/2026;—;1000026221;573.28
05107;EER démarré;30/05/2026;8726700d;1000026230;706.43
05107;EER démarré;30/05/2026;d60774cc;1000026231;839.93
09238;EER non démarré;30/05/2026;—;1000026240;563.41
09238;EER non démarré;30/05/2026;—;1000026241;789.77
00685;EER non démarré;30/05/2026;—;1000026250;578.09
00685;EER non démarré;30/05/2026;—;1000026251;754.19
03202;EER non démarré;30/05/2026;—;1000026260;199.23
03202;EER non démarré;30/05/2026;—;1000026261;319.08
05733;EER non démarré;30/05/2026;—;1000026270;715.95
05733;EER non démarré;30/05/2026;—;1000026271;387.74
07283;EER non démarré;30/05/2026;—;1000026280;640.05
07283;EER non démarré;30/05/2026;—;1000026281;421.59
02088;EER rejeté;30/05/2026;0c17c124;1000026290;876.17
02088;EER rejeté;30/05/2026;e132be40;1000026291;131.46
05080;EER non démarré;30/05/2026;—;1000026300;752.66
05080;EER non démarré;30/05/2026;—;1000026301;147.67
02200;EER non démarré;30/05/2026;—;1000026310;352.25
02200;EER non démarré;30/05/2026;—;1000026311;991.04
00126;EER non démarré;30/05/2026;—;1000026320;325.12
00126;EER non démarré;30/05/2026;—;1000026321;966.86
04561;EER démarré;30/05/2026;6c5feb63;1000026330;831.94
04561;EER démarré;30/05/2026;73130af8;1000026331;407.28
09238;EER non démarré;30/05/2026;—;1000026340;637.68
09238;EER non démarré;30/05/2026;—;1000026341;837.14
09238;EER non démarré;30/05/2026;—;1000026350;583.89
09238;EER non démarré;30/05/2026;—;1000026351;484.24
09238;EER non démarré;30/05/2026;—;1000026360;509.37
09238;EER non démarré;30/05/2026;—;1000026361;750.80
09389;EER non démarré;30/05/2026;—;1000026370;846.31
09389;EER non démarré;30/05/2026;—;1000026371;736.73
09549;EER non démarré;30/05/2026;—;1000026380;787.77
09549;EER non démarré;30/05/2026;—;1000026381;254.02
00368;EER non démarré;30/05/2026;—;1000026390;741.19
00368;EER non démarré;30/05/2026;—;1000026391;996.89
08448;EER non démarré;30/05/2026;—;1000026400;476.92
08448;EER non démarré;30/05/2026;—;1000026401;687.88
06744;EER non démarré;30/05/2026;—;1000026410;878.76
06744;EER non démarré;30/05/2026;—;1000026411;659.19
01192;EER non démarré;30/05/2026;—;1000026420;905.30
01192;EER non démarré;30/05/2026;—;1000026421;572.44
04669;EER non démarré;30/05/2026;—;1000026430;916.73
04669;EER non démarré;30/05/2026;—;1000026431;435.87
01847;EER non démarré;30/05/2026;—;1000026440;128.31
01847;EER non démarré;30/05/2026;—;1000026441;246.20
00386;EER non démarré;30/05/2026;—;1000026450;830.91
00386;EER non démarré;30/05/2026;—;1000026451;680.04
07386;EER non démarré;30/05/2026;—;1000026460;819.37
07386;EER non démarré;30/05/2026;—;1000026461;713.54
07386;EER à valider;30/05/2026;236b273c;1000026470;846.72
07386;EER à valider;30/05/2026;53226311;1000026471;898.01
02148;EER non démarré;30/05/2026;—;1000026480;249.60
02148;EER non démarré;30/05/2026;—;1000026481;258.86
07516;EER non démarré;30/05/2026;—;1000026490;620.96
07516;EER non démarré;30/05/2026;—;1000026491;514.28
00438;EER non démarré;30/05/2026;—;1000026500;440.89
00438;EER non démarré;30/05/2026;—;1000026501;650.66
09238;EER à rejeter;30/05/2026;0158ad3c;1000026510;274.13
09238;EER à rejeter;30/05/2026;b2f62fb7;1000026511;986.62
09434;EER à valider;30/05/2026;6ca92c5b;1000026520;836.96
09434;EER à valider;30/05/2026;d158d390;1000026521;488.90
03940;EER démarré;30/05/2026;b686fd31;1000026530;609.23
03940;EER démarré;30/05/2026;d038ae65;1000026531;947.56
03940;EER non démarré;30/05/2026;—;1000026540;828.86
03940;EER non démarré;30/05/2026;—;1000026541;259.01
09238;EER démarré;30/05/2026;603ddb16;1000026550;342.67
09238;EER démarré;30/05/2026;fa84c2ae;1000026551;780.55
09873;EER non démarré;30/05/2026;—;1000026560;988.57
09873;EER non démarré;30/05/2026;—;1000026561;979.16
04868;EER non démarré;30/05/2026;—;1000026570;863.67
04868;EER non démarré;30/05/2026;—;1000026571;780.74
02328;EER non démarré;30/05/2026;—;1000026580;469.32
02328;EER non démarré;30/05/2026;—;1000026581;476.99
00945;EER non démarré;30/05/2026;—;1000026590;162.04
00945;EER non démarré;30/05/2026;—;1000026591;786.94
00644;EER à valider;30/05/2026;f5fc4c8e;1000026600;330.42
00644;EER à valider;30/05/2026;310fe694;1000026601;948.07
01856;EER non démarré;30/05/2026;—;1000026610;257.50
01856;EER non démarré;30/05/2026;—;1000026611;977.53
09238;EER validé;30/05/2026;7f46648c;1000026620;198.69
09238;EER validé;30/05/2026;97568f2c;1000026621;832.99
03161;EER non démarré;30/05/2026;—;1000026630;533.79
03161;EER non démarré;30/05/2026;—;1000026631;418.71
09238;EER non démarré;30/05/2026;—;1000026640;208.42
09238;EER non démarré;30/05/2026;—;1000026641;564.68
02987;EER non démarré;30/05/2026;—;1000026650;436.23
02987;EER non démarré;30/05/2026;—;1000026651;997.38
07249;EER non démarré;30/05/2026;—;1000026660;448.55
